código;título;status;descrição
"85979";"Analista de Negócios Sênior – Foco em Inovação";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"85981";"Desenvolvedor Full Stack Sênior C#.NET Node React";"✅";"Forte aderência: há evidência de C#, parte da sua stack dominada."
"85982";"Analista de Suporte de campo";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85984";"Engenheiro de Dados Sr (DATABRICKS)";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"85985";"Estágio em suporte técnico";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85991";"Analista de Suporte N1";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85994";"Consultor de Governança, Risco e Compliance (GRC)";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"85996";"Especialista em Mediação Telecom – CSG";"✅";"Forte aderência: há evidência de Oracle, parte da sua stack dominada."
"85998";"Analista de Implantação";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"86002";"Agente de atendimento";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"86003";"Agente de atendimento - Bilíngue Inglês";"❌";"Bloqueada: a descrição exige idioma em avoidTerms (inglês/espanhol)."
"86005";"Analista de suporte - ABCD";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"86006";"Operador(a) de Vendas (porta a porta)";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"86007";"Operador(a) de Vendas (porta a porta)";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"86008";"Operador de Atendimento - NOC";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
